SIREN;NIC;L1_NORMALISEE;CODPOS
006272801;00033;MONSIEUR JEAN CLOUET;44160
006272801;00041;MONSIEUR JEAN CLOUET;44160
006280234;00078;LE GAL;44350
006280234;00094;LE GAL;44550
006280234;00128;LE GAL;44260
006280234;00136;LE GAL;44600
006280234;00151;LE GAL;56130
006280234;00169;MARBRERIE DES PAYS DE VILAINE;35600
006280234;00177;POMPES FUNEBRES BREVINOISES LE DUC;44250
006280234;00185;LE GAL;44560
006280234;00193;LE GAL;44320
006280234;00201;LE GAL;44250
006280234;00219;LE GAL;44260
006280234;00227;LE GAL;44260
006280234;00235;LE GAL;44500
006280234;00250;LE GAL;44600
006280234;00268;LE GAL;44600
006280275;00048;LEROUX PERRIER ET ASSOCIES;44350
006280275;00055;LEROUX PERRIER ET ASSOCIES;44570
006280309;00011;COMP ATLAN DONGEOIS DISTRI APPRO CONST;44480
006280309;00029;COMP ATLAN DONGEOIS DISTRI APPRO CONST;44350
006280309;00045;COMP ATLAN DONGEOIS DISTRI APPRO CONST;44480
006280309;00078;COMP ATLAN DONGEOIS DISTRI APPRO CONST;44430
006280309;00086;COMP ATLAN DONGEOIS DISTRI APPRO CONST;85520
006280309;00094;COMP ATLAN DONGEOIS DISTRI APPRO CONST;29340
006310965;00022;MONSIEUR ANDRE BLONDIAUX;06210
006320048;00017;SOCIETE DE MOISMONT;80120
006340251;00021;MONSIEUR RENE BRES;04530
006340434;00015;CHARLY JOUETS CLUB;04000
006341234;00018;MONSIEUR ETIENNE BLANCHETON;04500
006341374;00020;MONSIEUR FERNAND CLARIOND;04850
006341887;00013;MONSIEUR RENE BLANC;04370
006341887;00021;MONSIEUR RENE BLANC;04370
006341887;00039;BLANC RENE;83390
006341945;00019;MONSIEUR JEAN CHABRAND;04140
006341945;00027;MONSIEUR JEAN CHABRAND;04340
006350102;00015;SA IMMOB AGRIC DOM GRDE FUSTE;04210
006350193;00030;ALPES AUTOMOBILES GARAGE DECAROLI;04100
006371470;00011;MONSIEUR MARCEL ORAIN;44750
006371470;00037;MONSIEUR MARCEL ORAIN;44750
006380042;00033;LABORATOIRE NUTERGIA;12700
006380042;00041;LABORATOIRE NUTERGIA;12700
006380042;00058;LABORATOIRE NUTERGIA;12260
006380117;00025;IMPRIMMO;44350
006380158;00045;ESPACE DOMICILE SA HABITAT LOYER MODER;44570
006380315;00058;HORIZON AUTOMOBILES;44570
006410120;00023;MONSIEUR GUY MEHAY;80100
006411136;00010;MADAME ALINE DURAND;80150
006412084;00045;MONSIEUR RENE BLOSSEVILLE;76230
006412084;00052;MONSIEUR RENE BLOSSEVILLE;76130
006412209;00030;MONSIEUR GUY DEROSIERE;80550
006440374;00020;MONSIEUR GUSTAVE MASCHIO;04660
006440648;00019;MONSIEUR ANDRE ILLY;04170
006441729;00016;MONSIEUR DANIEL BULTEZ;04700
006442032;00014;MADAME JEANNINE VENTRE;04000
006450043;00028;PERLAMANDE;04700
006450225;00021;SCI LA RAMADE;13410
006472518;00015;MONSIEUR PIERRE HUDAULT;44420
006472948;00014;RENAUDIN GUSTAVE INDIVISION;44420
006474167;00019;BELLIOT GUIHENEUF AGNES INDIV;44410
006474696;00025;MONSIEUR MARC PEZERON;44720
006474779;00029;MONSIEUR JEAN SENAND;44510
006480065;00017;TRANSPORTS MORAND FRIGORIFIQUES;44550
006480206;00017;KERISAC;44530
006480206;00025;ETS GUILLET FRERES;10210
006480248;00043;ETABLISSEMENTS H BRETECHE ET COMPAGNIE;44380
006510465;00039;MONSIEUR RICHARD BRUANT;80120
006512057;00032;MONSIEUR ROGER VANDEKERCKHOVE;80100
006512131;00019;DECARNE PROMOTION;80100
006512289;00031;MONSIEUR RENE HANNEDOUCHE;80100
006520126;00019;SARL LE GROS TILLEUL;80120
006520266;00021;TRANSPORTS LEROY ET FILS;80132
006540629;00026;MONSIEUR JEAN PAYAN;04000
006541445;00026;MONSIEUR MAX REYNET;04400
006541445;00042;MONSIEUR MAX REYNET;04400
006570501;00020;MADAME GINETTE LEBERRE;44510
006570550;00019;MONSIEUR GILBERT BELAY;44290
006572291;00018;MONSIEUR JEAN BADEAU;44130
006572317;00029;MADAME JOSIANE BERTAUX;44500
006572572;00011;MONSIEUR BERNARD CADRO;44490
006573273;00023;MONSIEUR LEON ARTUS;44260
006573331;00011;MONSIEUR JEAN PROVOST;44170
006573901;00011;MADAME MARIE CADY;44380
006573901;00037;MADAME MARIE CADY;44380
006574586;00027;MONSIEUR JEAN BOMAL;44600
006574586;00035;MONSIEUR JEAN BOMAL;44600
006580161;00013;PRODUITS BETON MATERIAUX CONSTRUCTION;44160
006580195;00011;SOC INDUST POUR DEVELOPP SECURITE;44600
006580468;00012;SOCIETE FONCIERE DU GOLF DE LA BRETESC;44780
006580468;00038;SOCIETE FONCIERE DU GOLF DE LA BRETESC;44000
006610836;00014;MONSIEUR JACQUES MARCHAND;80860
006611313;00013;MADAME MARIE FORTIER;80100
006611966;00034;MONSIEUR JEAN PIERRE LEPAGE;80490
006620066;00016;CAOUTCHOUCS MODERNES;80220
006620124;00021;DECOUPAGE ET MOULAGE D ELASTOMERES;80770
006620124;00039;LIEUDIT LA CROIX DE FER;80770
006620165;00024;ETABLISSEMENTS BOULY ET COMPAGNIE;80370
006640304;00025;MONSIEUR MAURICE ESPITALIER;04200
006640668;00023;MADAME COLETTE BLANC;04260
006641641;00029;MONSIEUR MARCEL LATIL;04700
006641658;00015;MADAME LOUISE CONTARD;04380
006641823;00056;MONSIEUR PHILIPPE PLOGE;04000
006650089;00037;PROVENCE HABITATIONS DE HAUTE;04000
006650089;00045;PROVENCE HABITATIONS DE HAUTE;04510
006650089;00052;HABITATIONS DE HAUTE PROVENCE;04100
006650097;00014;CAMP DU VERDON;04120
006650113;00027;SOC FONCIERE CASTILLON DEMANDOLX;04120
006671069;00026;MONSIEUR JEAN DIGUET;44170
006674113;00011;INDIVISION JEFFROY;44500
006680219;00018;BOULANGERIE CHATELLIER;44500
006680219;00034;CHATELLIER;44500
006680219;00059;BOULANGERIE CHATELLIER;44380
006680219;00067;BOULANGERIE CHATELLIER;44500
006710123;00024;MONSIEUR JOEL DHEILLY;80580
006710511;00020;MONSIEUR GASTON DUFOSSE;76260
006710875;00045;MONSIEUR JACQUES DUCROCQ;80140
006711014;00016;MONSIEUR MARC DEBEAUVAIS;80220
006711428;00026;MONSIEUR HUBERT GAMBERT;80120
006711964;00012;MONSIEUR RENE POUPEE;80120
006720049;00029;BORFLEX SERVICES;76800
006720064;00028;LE PALAIS DE L AUTOMOBILE ABBEVILLE;80000
006720064;00036;RENAULT;80100
006720064;00044;LE PALAIS DE L AUTOMOBILE ABBEVILLE;80220
006720064;00051;GARAGE DUPONT FRERES;80120
006720064;00069;LE PALAIS DE L AUTOMOBILE ABBEVILLE;76260
006740294;00027;MONSIEUR GUY REYNAUD;04530
006770168;00018;MONSIEUR JEAN BOEFFARD;44780
006770192;00034;MONSIEUR SERGE BERTHOIS;44510
006771653;00018;MONSIEUR PIERRE PAGEAUD;44350
006772057;00037;MONSIEUR GUY OUAZAN;44600
006772230;00022;MONSIEUR MICHEL AGAISSE;44130
006773303;00026;MONSIEUR JACQUES RENAUDIN;44600
006773386;00054;MONSIEUR ARMAND BERTIN;44510
006773436;00024;MONSIEUR CHRISTIAN CHARLOT;44490
006780092;00018;ETABLISSEMENTS A. BREJON;44600
006780514;00037;SOCIETE FRANCAISE OUTILS PROFESSIONNEL;44550
006780514;00045;SOCIETE FRANCAISE OUTILS PROFESSIONNEL;44550
006780514;00052;USINE;85610
006780514;00060;SOCIETE FRANCAISE OUTILS PROFESSIONNEL;44550
006780514;00086;SOCIETE FRANCAISE OUTILS PROFESSIONNEL;76400
006780514;00094;SOCIETE FRANCAISE OUTILS PROFESSIONNEL;44260
006810303;00013;MONSIEUR JEAN CHABE;80100
006810303;00039;L ARMOIRE A LINGE;80100
006810477;00064;MADAME ANNICK DEGOUY;80100
006811327;00011;MADAME JACQUELINE MENNESSON;80100
006811574;00018;BASSE INDIVISION;80870
006841621;00029;SALLE DE JEUX JUGY;04400
006850093;00029;MARMOTEL SA;45620
006850168;00011;SA AMENAGEMENT TOURISTIQUE SELONNET;04140
006850234;00011;ETABLISSEMENTS GARCIN FRERES;04210
006850234;00029;ETABLISSEMENTS GARCIN FRERES;04100
006850234;00037;ETABLISSEMENTS GARCIN FRERES;04210
006850234;00045;ETABLISSEMENTS GARCIN FRERES;04210
006850259;00026;SARL ETS MICHEL;04510
006871347;00016;MONSIEUR VICTOR RAULT;44160
006871420;00037;JIM;44500
